epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4562,0,32.8859,0,0,0,0,0,0,0,0,0.00332665,0.00332665,0.00332665
2,101.092,0,0,0,0,0,0,0,0,0,0,0.00665836,0.00665836,0.00665836
3,149.88,0,0,0,0,0,0,0,0,0,0,0.00998356,0.00998356,0.00998356
4,198.915,0,0,0,0,0,0,0,0,0,0,0.00997803,0.00997803,0.00997803
5,247.042,0,0,0,0,0,0,0,0,0,0,0.00996097,0.00996097,0.00996097
6,295.188,0,0,0,0,0,0,0,0,0,0,0.00993906,0.00993906,0.00993906
7,343.48,0,0,0,0,0,0,0,0,0,0,0.00991232,0.00991232,0.00991232
1,60.1841,0,32.8859,0,0,0,0,0,0,0,0,0.00332665,0.00332665,0.00332665
2,113.747,0,0,0,0,0,0,0,0,0,0,0.00665836,0.00665836,0.00665836
3,168.877,0,0,0,0,0,0,0,0,0,0,0.00998356,0.00998356,0.00998356
1,63.1136,1.01534,2.82133,1.26433,0.65226,0.59062,0.63458,0.42374,1.08191,1.40805,1.2857,0.00332665,0.00332665,0.00332665
2,124.827,1.11669,1.93886,1.3371,0.54451,0.47943,0.48495,0.29502,1.27454,1.74608,1.48354,0.00665836,0.00665836,0.00665836
3,186.078,1.26549,2.12835,1.44587,0.42472,0.28234,0.27304,0.14601,1.51217,2.28831,1.68817,0.00998356,0.00998356,0.00998356
4,247.944,1.36799,2.29042,1.54176,0.45286,0.36732,0.36196,0.20685,1.43999,2.03309,1.64909,0.00997803,0.00997803,0.00997803
5,308.184,1.32512,2.12499,1.5163,0.43531,0.36453,0.34391,0.19387,1.44201,2.03373,1.66984,0.00996097,0.00996097,0.00996097
6,367.367,1.30554,1.97546,1.49209,0.49217,0.40911,0.41709,0.23839,1.42059,1.87442,1.61998,0.00993906,0.00993906,0.00993906
7,433.858,1.27066,1.87797,1.47055,0.55926,0.47911,0.49096,0.29424,1.33216,1.63961,1.52425,0.00991232,0.00991232,0.00991232
8,513.004,1.26112,1.80747,1.45919,0.58135,0.46088,0.49784,0.30053,1.34286,1.69626,1.53056,0.00988079,0.00988079,0.00988079
9,603.406,1.24663,1.74524,1.44946,0.56899,0.52551,0.54609,0.33279,1.29575,1.51532,1.48873,0.00984449,0.00984449,0.00984449
10,694.575,1.22468,1.68239,1.432,0.61458,0.50771,0.54524,0.34027,1.28426,1.51219,1.48105,0.00980345,0.00980345,0.00980345
11,773.113,1.20621,1.62179,1.41862,0.62789,0.51173,0.55207,0.35011,1.24297,1.47211,1.44105,0.00975773,0.00975773,0.00975773
12,850.649,1.17927,1.57592,1.39864,0.64652,0.524,0.57739,0.36384,1.26307,1.44076,1.46026,0.00970736,0.00970736,0.00970736
13,928.954,1.17852,1.55665,1.4078,0.61905,0.53484,0.56941,0.35728,1.26131,1.46193,1.47928,0.00965239,0.00965239,0.00965239
14,1026.71,1.17098,1.51465,1.38863,0.65275,0.52613,0.57957,0.37127,1.21805,1.40552,1.41556,0.00959289,0.00959289,0.00959289
15,1127.47,1.16062,1.48821,1.38264,0.66817,0.57686,0.61626,0.40142,1.21472,1.32535,1.41458,0.00952889,0.00952889,0.00952889
16,1232.14,1.15332,1.47507,1.37951,0.67392,0.58924,0.6493,0.42208,1.19219,1.26495,1.40613,0.00946048,0.00946048,0.00946048
17,1333.34,1.13725,1.44169,1.37021,0.67887,0.58915,0.64275,0.4228,1.16859,1.25417,1.3841,0.00938772,0.00938772,0.00938772
18,1435,1.13356,1.42689,1.36374,0.68043,0.58758,0.64848,0.42994,1.17055,1.24555,1.37841,0.00931067,0.00931067,0.00931067
19,1527.3,1.12606,1.40804,1.36106,0.67184,0.60992,0.65631,0.43836,1.14822,1.217,1.36402,0.00922942,0.00922942,0.00922942
